ʔ;?
b;b
b';b_<
d;d
d';d_<
f;f_h
f';f
g;g
h;h
j;dZ
k;k_h
k';k
l;l
m;m
n;n
ng#;N
ng;N g
p;p_h
p';p
r;r
s;s_h
s';s
sh;S_h
sh';S
t;t_h
t';t
v;v
w;w
y;j
z;z
a;a
aa;a:
ââ;O:
e;e
ee;e:
i;i
ii;i:
o;o
oe;@
oo;o:
u;u
û;}
uu;u:
ûû;}:
ʔw;?_w
bw;b_w
b'w;b_w<_
dw;d_w
d'w;d_w_<
fw;f_h_w
f'w;f_w
gw;g_w
hw;h_w
jw;dZ_w
kw;k_h_w
k'w;k_w
lw;l_w
mw;m_w
nw;n_w
ngw#;N_w
ngw;N g_w
pw;p_h_w
p'w;p_w
rw;r_w
sw;s_h_w
s'w;s_w
shw;S_h_w
sh'w;S_w
tw;t_w_h
t'w;t_w
vw;v_w
yw;j_w
zw;z_w
ʔy;?_j
by;b_j
b'y;b_j_<
dy;d_j
d'y;d_j_<
fy;f_j_h
f'y;f_j
gy;g_j
hy;h_j
jy;dZ_j
ky;k_j_h
k'y;k_j
ly;l_j
my;m_j
ny;n_j
ngy#;N_j
ngy;N g_j
py;p_j_h
p'y;p_j
ry;r_j
sy;s_j_h
s'y;s_j
shy;S_j_h
sh'y;S_j
ty;t_j_h
t'y;t_j
vy;v_j
wy;w_j
zy;z_j

%%% Sounds from English or French %%%
c;k
ch;tS
x;k s
