a;a
á;a
ɑ;Q
ɒ;Q
d;t
e;e
ɛ;E
g;k
h;h
i;i
í;i
ɨ;1
ɯ;1
j;j
ʲ;j
k;k
kʰ;k_h
k͈;k:
kː;k:
k͈ː;k:
l;l
lː;l:
m;m
mː;m:
n;n
nː;n:
ɲ;J
ŋ;N
o;o
p;p
pʰ;p_h
p͈;p:
pː;p:
pʰː;p_h
t;t
tʰ;t_h
t͈;t:
tː;t:
t͡ɕ;ts\
t͡ɕʰ;ts\_h
t͡ɕ͈;ts\:
t͡ɕː;ts\:
sʰ;s_h
s͈;s:
sː;s:
u;u
ɥ;u
w;w
ʷ;w
ə;@

%%% Interjections/backchannels/filled pauses %%%
ᵻ̃;1 N
ᵻ̃ː;1 N
ĩ;i N

%%% Lateral allophony %%%
set V u;u
set V i;i
set V í;i
set V ĩ;i
set V ɨ;1
set V ɯ;1
set V o;o
set V ə;@
set V a;a
set V á;a
set V ɑ;Q
set V ɒ;Q
set V e;e
set V ɛ;E
$V$l$V$;. 4 .
$V$lh;. 4 .

%%% Sibilant allophony %%%
sʰi;s\_h i
s͈;s:s\: i
sː;s\: i
sʰí;s\_h i
s͈í;s\: i
sːí;s\: i
sʰe;s\_h e
s͈e;s\: e
sːe;s\: e

%%% Cluster simplification %%%
sʰk;k:
sʰt;t:
sʰp;p:
sʰt͡ɕ;ts\:
sʰn;n:
sʰm;m:
sʰh;t_h
