aa;a
ee;e
ii;i
oo;o
uu;u
aan;a~
een;e~
iin;i~
oon;o~
uun;u~
a;a
e;e
ê;e
é;e
ë;e
i;i
o;o
ô;o
u;u
an;a~
en;e~
in;i~
on;o~
un;u~
ang;a~ N
eng;e~ N
ing;i~ N
ong;o~ N
oong;o~ N
ung;u~ N
aun;a~ u~
aen;a~ e~
ain;a~ i~
oun;o~ u~
uin;u~ i~
aung;a~ u~ N
aeng;a~ e~ N
aing;a~ i~ N
oung;o~ u~ N
uing;u~ i~ N
aq;a_?\
eq;e_?\
oq;o_?\
uq;u_?\
aqa;a_?\
eqe;e_?\
oqo;o_?\
uqu;u_?\
aqan;a~_?\
oqon;o~_?\
aqann;a~_?\ n
ng;N 
nk;N k
tyh;c_h
tyx;cx
ty;c
c;tS
dy;J\
p;p
b;b
t;t
d;d
q;q
w;v
k;k
kh;k_h
ʼ;?
s;s
z;z
x;X
ts;ts
tsʼ;ts_>
kxʼ;kx_>
m;m
n;n
nn;n
ny;J
g;g
f;f
r;4
l;l 
h;h\
ʘ;O\
ǀ;|\
ǃ;!\
ǁ;|\|\
ǂ;=\
gʘ;O\_v
gǀ;|\_v
gǃ;!\_v
gǁ;|\|\_v
gǂ;=\_v
nʘ;O\~
nǀ;|\~
nǃ;!\~
nǁ;|\|\~
nǂ;=\~
ǀh;|\_h
ǃh;!\_h
ǁh;|\|\_h
ǂh;=\_h
ǀʼh;|\~_h
ǃʼh;!\~_h
ǁʼh;|\|\~_h
ǂʼh;=\~_h
ʘʼ;O\_>
ǀʼ;|\_>
ǃʼ;!\_>
ǁʼ;|\|\_>
ǂʼ;=\_>
ʘx;O\X
ǀx;|\X
ǃx;!\X
ǁx;|\|\X
ǂx;=\X
ʘq;O\q
ǀq;|\q
ǃq;!\q
ǁq;|\|\q
ǂq;=\q
ǀqh;|\q_h
ǃqh;!\q_h
ǁqh;|\|\q_h
ǂqh;=\q_h
ǀkxʼ;|\qX_>
ǀqxʼ;|\qX_>
ǃkxʼ;!\qX_>
ǃqxʼ;!\qX_>
ǁkxʼ;|\|\qX_>
ǁqxʼ;|\|\qX_>
ǂkxʼ;=\qX_>
ǂqxʼ;=\qX_>

%%% Special cases %%%
knn;k i~ n
snn;s i~ n
